Episode,Avg Reward,Total Tasks,Episode Time,WalkToWrongShelf(-0),PickRequested(+0.1),PickUnrequired(-0.05),ReturnAfterDelivery(+0.5),DeliverToGoal(+4.0),DropWrong(-0.1),ActorLoss,CriticLoss,Entropy
1,-0.25,0,0.6996209621429443,0,4,20,0,0,4,-0.02218989028457414,0.0028129167451677655,1.6008097143084914
2,-0.3,0,0.6742019653320312,0,2,24,0,0,2,-0.030026623263472208,0.003979019672987926,1.5943643450737
3,1.5775,1,0.7401242256164551,0,4,14,0,1,3,-0.0026271926687547447,0.0036611460166555945,1.5960874160130818
4,-0.3125,0,0.6766183376312256,0,2,25,0,0,2,-0.019137962402223988,0.000822845036555851,1.589570219869967
5,-0.30000000000000004,0,0.7351009845733643,0,2,24,0,0,2,-0.016110339917725435,0.0010499075066879818,1.599907976609689
6,-0.2625,0,0.6865947246551514,0,1,21,0,0,1,-0.01255647704453656,0.0006864137999172918,1.5885633539270472
7,-0.2625,0,0.68800950050354,0,11,21,0,0,11,-0.010608298721274844,0.0027081169108148138,1.5985197667722348
8,-0.17,0,0.7245471477508545,0,7,21,0,0,7,-0.013400022992519316,0.0009636810775150747,1.5974043784318148
9,-0.22499999999999998,0,0.6796841621398926,0,0,18,0,0,0,-0.022814045349756874,0.001277221971975785,1.5958728823396895
10,-0.34750000000000003,0,0.6575720310211182,0,8,29,0,0,8,-0.020938223771130044,0.000836394214954122,1.5981875514542616
11,-0.215,0,0.6978464126586914,0,1,38,0,0,0,-0.02007086266315094,0.0013800454890725196,1.6011052230993907
12,-0.44999999999999996,0,0.6656773090362549,0,7,39,0,0,6,-0.023492626638876066,0.0013261859905064981,1.5943507662525884
13,0.965,1,0.7288742065429688,0,12,23,0,1,10,-0.005256151866719679,0.0011619878723981478,1.5996029178301494
14,-0.33000000000000007,0,0.6576747894287109,0,3,27,0,0,3,-0.03150209365412593,0.00101848624307948,1.5952112233197246
15,-0.15000000000000002,0,0.6785163879394531,0,0,12,0,0,0,-0.013285401570438234,0.001119144217920447,1.5958693932603905
16,1.1075000000000004,1,0.7383882999420166,0,8,17,1,1,7,-0.013038547036962377,0.0007403087608673549,1.593008672749555
17,-0.4625,0,0.6644389629364014,0,4,37,0,0,4,-0.024481143078042403,0.001388228766534533,1.594593303071128
18,-0.06499999999999986,0,0.664177417755127,0,5,37,0,0,5,-0.013821111112419102,0.001735296069598575,1.5920558527663902
19,-0.09500000000000001,0,0.7032067775726318,0,10,32,0,0,9,-0.009172391094681289,0.0009151702895866449,1.5970095837557758
20,-0.45000000000000007,0,0.6700222492218018,0,7,38,0,0,6,-0.01469788601173571,0.0015000166112890596,1.5989148252540164
21,-0.2125,0,0.6570641994476318,0,2,17,0,0,2,-0.009296360141080286,0.0010463321091693917,1.5952202611499362
22,1.5175000000000005,0,0.7071371078491211,0,7,21,0,0,4,0.02556453959981876,0.0030501980745080357,1.5996975015710901
23,-0.175,0,0.6619207859039307,0,0,14,0,0,0,-0.01815076959664347,0.00056162339374771,1.5968248711691961
24,0.29000000000000026,0,0.722405195236206,0,10,16,0,0,9,-0.008880876634200967,0.0009008753070501574,1.5956329968240526
25,-0.325,0,0.684098482131958,0,0,26,0,0,0,-0.012662051176583325,0.00039834454260617095,1.5972199815290944
26,1.0650000000000002,1,0.6585831642150879,0,1,19,0,1,0,-0.02222119203630697,0.0012241596684084855,1.5960148848869182
27,0.01999999999999999,0,0.705136775970459,0,6,37,0,0,6,-0.019379624113854438,0.0008369769035101942,1.597054076415521
28,-0.07999999999999996,0,0.675121545791626,0,2,25,0,0,1,-0.003035880547637742,0.001078520671335099,1.6042196540920823
29,-0.26,0,0.6646280288696289,0,21,26,0,0,20,-0.015387754240590665,0.0015958159450255335,1.5941717701929587
30,0.8275,1,0.7424824237823486,0,1,20,0,1,0,0.2122309758948783,0.5611680719880423,1.590312956659882
31,-0.4,0,0.6714069843292236,0,2,32,0,0,2,-0.0162210534154265,0.000532952719994431,1.5966323834878426
32,-0.5475000000000001,0,0.6781044006347656,0,17,49,0,0,17,-0.023472342605668085,0.0023666152844841522,1.59840491855586
33,-0.11500000000000006,0,0.7243967056274414,0,7,25,0,0,7,-0.013801204696021698,0.0014216311272645253,1.594484129437694
34,0.30250000000000027,0,0.6799061298370361,0,2,26,0,0,1,-0.007679408640359287,0.0014818444780128515,1.594045391789189
35,-0.07250000000000002,0,0.6941211223602295,0,5,24,0,0,5,-0.01574063598592248,0.0014123182635573455,1.5979921928158514
36,-0.2875,0,0.7486934661865234,0,1,23,0,0,1,-0.01911747470256631,0.0005721504282132114,1.5916072163316939
37,-0.5,0,0.6364474296569824,0,1,40,0,0,1,-0.01886697257524011,0.0005058756243775756,1.5970783962143793
38,-0.1575,0,0.6594951152801514,0,5,17,0,0,5,-0.025457614929311805,0.000825200166270511,1.5951854288578033
39,-0.375,0,0.7241866588592529,0,1,30,0,0,1,-0.02481137493763257,0.0007625214213299436,1.5979097319973838
40,-0.225,0,0.6604852676391602,0,3,18,0,0,3,-0.034517749730083674,0.001284738412324098,1.5971757361182461
41,-0.09999999999999996,0,0.6822249889373779,0,7,25,0,0,6,-0.01579871263217043,0.0004633208606466384,1.6022262551166393
42,-0.3125,0,0.7339239120483398,0,6,25,0,0,6,-0.019834738966353512,0.0011807466397913762,1.5975908626008917
43,-0.5,0,0.6834254264831543,0,9,40,0,0,9,-0.033722887169224794,0.0013310950444623642,1.5977669744579879
44,0.4299999999999999,0,0.7283432483673096,0,7,21,0,0,6,-0.0008161635293314855,0.0009625903987462765,1.5969463443314589
45,-0.3125,0,0.6592252254486084,0,4,25,0,0,4,-0.02543092154276868,0.0008259909829917833,1.596394066457395
46,-0.2525,0,0.6987104415893555,0,8,25,0,0,8,-0.022903255393935572,0.0009137120775231861,1.6001190432795773
47,-0.35,0,0.7383449077606201,0,0,28,0,0,0,-0.02676861399474243,0.0007259629927646295,1.6002098675127383
48,-0.3,0,0.7305052280426025,0,0,24,0,0,0,-0.01172998203482065,0.00035363801180424257,1.5970063651049577
49,-0.335,0,0.6840813159942627,0,4,28,0,0,4,-0.02015768992714584,0.0005045251684743844,1.5957739132421989
50,-0.225,0,0.7388873100280762,0,4,18,0,0,4,-0.008574879400570085,0.0006404543462595193,1.5947878162066143
51,-0.25,0,0.6758959293365479,0,6,22,0,0,5,-0.014657702943724062,0.0009529697961453216,1.5977481537395055
52,0.11500000000000017,0,0.7213606834411621,0,9,18,0,0,8,-0.012998792196244554,0.0004939680706704684,1.593064006831911
53,-0.55,0,0.6836588382720947,0,1,44,0,0,1,-0.013693597305704047,0.00029313952668455956,1.6006448522762016
54,0.5000000000000002,0,0.7274477481842041,0,5,9,0,0,4,-0.0029542613602070895,0.001439735637514987,1.5971550246079762
55,0.41499999999999976,0,0.7373526096343994,0,1,30,0,0,0,-0.003148825106176514,0.0007772062117859216,1.5957290033499398
56,0.9100000000000001,1,0.7011771202087402,0,4,23,0,1,3,0.24578327819256596,0.7092005626994811,1.6007512863035556
57,-0.3125,0,0.6955208778381348,0,3,25,0,0,3,-0.015424591859940578,0.00026245221482944377,1.5990429796554426
58,1.9400000000000004,1,0.7441322803497314,0,10,17,0,1,8,0.27425512078183667,0.7342490583788915,1.6009496604954754
59,-0.09499999999999995,0,0.6650073528289795,0,4,25,0,0,4,-0.016749408742826846,0.0003863313418152113,1.6009749317610704
60,0.5175000000000001,1,0.6744964122772217,0,1,44,0,1,0,-0.0237544486730325,0.00046599249286157814,1.6002858181794484
61,-0.19999999999999998,0,0.7190682888031006,0,4,16,0,0,4,-0.018656591281156848,0.0010910294252322165,1.5979454142075997
62,-0.2375,0,0.6715683937072754,0,0,19,0,0,0,-0.01635533025384777,0.00014915505863229638,1.6001843048466575
63,0.07500000000000011,0,0.6749677658081055,0,3,20,0,0,2,-0.010902575277550904,0.001136930232261427,1.5991165582780484
64,-0.2125,0,0.7195839881896973,0,4,17,0,0,4,-0.013291708581770461,0.00043357208287976416,1.6006930768489838
65,0.37750000000000017,0,0.6795454025268555,0,1,20,0,0,0,-0.010470071945477414,0.0016026347335487217,1.5985168836734913
66,-0.5875,0,0.6769611835479736,0,2,47,0,0,2,-0.032793835210786375,0.0012253823838103838,1.5978006577050246
67,-0.1425,0,0.7330811023712158,0,18,15,0,0,18,-0.007237266878493957,0.001801069636616312,1.60049228977274
68,-0.1375,0,0.6562175750732422,0,0,11,0,0,0,-0.014605256176933094,0.0003295942178625685,1.5994712489622611
69,1.0875000000000001,1,0.7375307083129883,0,5,9,0,1,4,-0.016554580302909017,0.000580075297211495,1.59733102939747
70,-0.38,0,0.6714181900024414,0,4,31,0,0,4,-0.01595187483838311,0.0003289835765494983,1.5997324685255685
71,-0.19999999999999993,0,0.6651833057403564,0,5,35,0,0,4,-0.02058514111019947,0.0006835011717624992,1.5995100273026361
72,-0.7500000000000001,0,0.7066793441772461,0,7,60,0,0,7,-0.025448512415298156,0.00045908146774593353,1.6004595425393844
73,1.4525000000000006,1,0.6717498302459717,0,7,17,0,1,5,-0.0030544167039570987,0.0010674345097280527,1.5997757779227364
74,-0.475,0,0.689497709274292,0,2,38,0,0,2,-0.030983902143176506,0.0014093932578218313,1.6044752399126687
75,-0.2625,0,0.7151904106140137,0,4,21,0,0,4,-0.02371927214510463,0.0005441257477755392,1.6010908285776775
76,-0.2875,0,0.653881311416626,0,3,23,0,0,3,-0.014296533393294172,0.00017538272198173126,1.6016219479066354
77,-0.5875000000000001,0,0.6957042217254639,0,6,49,0,0,5,-0.036433075934096615,0.0011126870259797132,1.6012566564259707
78,-0.15,0,0.7654356956481934,0,7,14,0,0,6,-0.013834717761104306,0.0008107876860317521,1.6022972243803517
79,-0.32500000000000007,0,0.6792120933532715,0,0,26,0,0,0,-0.020286741563015513,0.00037878617802899204,1.6008840501308441
80,-0.5625000000000001,0,0.7303955554962158,0,5,45,0,0,5,-0.03462028344748197,0.0008055499110463227,1.6014179819160037
81,0.0825,0,0.7055583000183105,0,2,30,0,0,2,-0.010667961823788506,0.0006556672158599181,1.5991768406497109
82,-0.38749999999999996,0,0.6802942752838135,0,4,31,0,0,4,-0.020951214418919,0.0004206718423054641,1.5991794323479689
83,-0.38749999999999996,0,0.7594826221466064,0,4,31,0,0,4,-0.01349523865307371,0.0002766111906059042,1.6006805775342166
84,0.4275000000000002,0,0.7028388977050781,0,6,16,0,0,4,-0.01005050768489363,0.0008543592647770726,1.5996112172250392
85,-0.1875,0,0.6734280586242676,0,0,15,0,0,0,-0.01142444200296369,0.00022075174758680777,1.5990395733603724
86,-0.2875,0,0.7343289852142334,0,3,23,0,0,3,-0.020727356145572334,0.0007054185889658892,1.5980536407894559
87,-0.1,0,0.6761057376861572,0,0,8,0,0,0,-0.014575193058354434,0.00026521874805875405,1.6022465527057648
88,-0.16500000000000004,0,0.645200252532959,0,1,21,0,0,0,-0.013930059572750772,0.000263214375704621,1.6011189741116985
89,1.0475,1,0.6219346523284912,0,7,20,0,1,5,-0.012863378902828251,0.0002502686715782292,1.5999428155245605
90,-0.5000000000000001,0,0.5928127765655518,0,1,40,0,0,1,-0.014829080767446646,0.00021934664154729154,1.601502846788477
91,-0.45000000000000007,0,0.6352920532226562,0,1,36,0,0,1,-0.020246171970265334,0.0003945845661660793,1.6042329801453485
92,1.0750000000000004,1,0.5962488651275635,0,3,24,0,1,2,-0.014889913326543238,0.0006418258793034918,1.6034050197513015
93,-0.36249999999999993,0,0.6010749340057373,0,2,29,0,0,2,-0.012182844733750378,0.0001410257931803695,1.6020550198025174
94,-0.43750000000000006,0,0.6781718730926514,0,0,35,0,0,0,-0.0218976906121329,0.0004228853698241758,1.6019371063620955
95,-0.4125,0,0.6058528423309326,0,1,41,0,0,1,-0.023523366354681826,0.0006443101938348471,1.6034156967092443
96,-0.30000000000000004,0,0.6189312934875488,0,7,26,0,0,6,-0.013656121911481023,0.00012141562143830743,1.6018770546824845
97,-0.30000000000000004,0,0.6608800888061523,0,3,24,0,0,3,-0.02587134065968847,0.0009031527756910234,1.6026522594469566
98,0.14000000000000007,0,0.5958850383758545,0,8,40,0,0,7,2.230872848519444e-05,0.003916229369538266,1.6040996235829812
99,-0.26749999999999996,0,0.5964937210083008,0,3,22,0,0,3,-0.014916861248720024,0.0009162469913261643,1.6020635896258884
100,-0.22749999999999998,0,0.6786820888519287,0,4,27,0,0,4,-0.012095598564310759,0.0007866141288561093,1.6030852286903947
101,-0.4625,0,0.6013572216033936,0,2,37,0,0,2,-0.02633120383446415,0.0006461868503525715,1.6022649473614163
102,-0.155,0,0.6138350963592529,0,5,22,0,0,4,-0.014218535593331413,0.0001778214158099583,1.6032939542222908
103,-0.175,0,0.6616544723510742,0,5,16,0,0,4,-0.0196325922453845,0.0003767700180463191,1.6028833157486386
104,-0.5,0,0.605644702911377,0,12,40,0,0,12,-0.015368140095637906,0.0008173746022688277,1.6042250218214813
105,0.8650000000000002,0,0.5996017456054688,0,4,24,0,0,3,0.003491316568451348,0.0023859926327976034,1.6032441501264219
106,1.2950000000000002,1,0.6513605117797852,0,4,28,1,1,1,-0.014249773652948165,0.000501256039967362,1.6035579310523138
107,-0.4375,0,0.5906550884246826,0,5,35,0,0,5,-0.02088592751641516,0.0006706108856786245,1.602968285481135
108,-0.3125,0,0.6480567455291748,0,6,25,0,0,6,-0.004956915629682717,0.0006408821223234078,1.6035334986669043
109,-0.18999999999999997,0,0.6316134929656982,0,4,30,0,0,3,-0.00861531181295437,0.000411384990139962,1.6022030269658125
110,-0.25,0,0.6487815380096436,0,1,20,0,0,1,-0.02029912556625075,0.0004811691983157644,1.6025075614452362
111,0.27500000000000036,0,0.6509957313537598,0,3,18,0,0,2,-0.005396456923335791,0.0006594424016587246,1.6031721123942622
112,-0.3,0,0.6021935939788818,0,1,24,0,0,1,-0.005612778917161955,0.0007898055513477528,1.6014246587400083
113,0.9900000000000001,1,0.5960931777954102,0,3,24,0,1,2,-0.01828635504676236,0.0005137542877311969,1.6034327668172341
114,-0.21750000000000003,0,0.6624324321746826,0,2,18,0,0,2,-0.00545116910641944,0.000690569674220748,1.6036202554349548
115,-0.275,0,0.59946608543396,0,0,22,0,0,0,-0.013058653704960036,0.00015956826987250972,1.6026137857525438
116,-0.3125,0,0.6134476661682129,0,1,25,0,0,1,-0.0158559942824973,0.00023143588544732657,1.604387355071527
117,-0.33749999999999997,0,0.6660265922546387,0,3,27,0,0,3,-0.018367586519431184,0.00024882130114567,1.603164945487623
118,-0.30000000000000004,0,0.6277039051055908,0,0,24,0,0,0,-0.014243465615436435,0.00014296335891214083,1.603207459052404
119,0.8874999999999985,0,0.6243441104888916,0,4,25,0,0,3,-0.00449302382077332,0.0008811698187826909,1.6042378081215753
120,-0.2875,0,0.66485595703125,0,1,23,0,0,1,-0.02086203929071349,0.00046675223874148987,1.6023146598427385
121,-0.4375,0,0.6112525463104248,0,0,35,0,0,0,-0.020060823221380513,0.000279681816033838,1.6036175975093134
122,-0.3125,0,0.6278853416442871,0,5,25,0,0,5,-0.021402410705815313,0.0007356693270425845,1.6020582241040688
123,0.5325000000000001,0,0.6692566871643066,0,5,25,0,0,4,0.013067275406447827,0.0021706952386370527,1.6036242721257388
124,-0.11499999999999998,0,0.650625467300415,0,6,25,0,0,5,-0.013540073539371845,0.0006822058912181831,1.602789459405122
125,-0.375,0,0.695946216583252,0,1,30,0,0,1,-0.028077197002453935,0.0005321382523596774,1.6039867809525243
126,-0.375,0,0.6153082847595215,0,8,30,0,0,8,-0.018758367850548692,0.00041875291247905075,1.6034408885019797
127,-0.4,0,0.6052639484405518,0,0,32,0,0,0,-0.022431584601118056,0.0006328424928770213,1.6024319463306003
128,-0.09999999999999999,0,0.6986055374145508,0,7,22,0,0,6,-0.01743046924713309,0.00043205865481899794,1.60335244624703
129,-0.1875,0,0.6164236068725586,0,0,15,0,0,0,-0.01748766376705909,0.0002276698497378524,1.60408079734555
130,-0.325,0,0.5989956855773926,0,3,26,0,0,3,-0.01507197470507688,0.00016220264787907682,1.602393505749879
131,0.21250000000000013,0,0.6508462429046631,0,4,12,0,0,2,-0.0015591030716206183,0.0007046883787380251,1.6013208318639685
132,-0.23249999999999998,0,0.601616382598877,0,6,24,0,0,6,0.0007181217273076381,0.0013360184330124866,1.6039405255405992
133,-0.2625,0,0.5997862815856934,0,1,21,0,0,1,-0.023749355761403284,0.0004582865323067821,1.603219315961555
134,0.18250000000000022,0,0.6332452297210693,0,3,24,0,0,2,-0.006758630905231392,0.0004978340104835971,1.60377918349372
135,-0.2875,0,0.6115484237670898,0,3,23,0,0,3,-0.024131135937447347,0.0006014999474304789,1.6022785052105233
136,-0.225,0,0.6661052703857422,0,1,18,0,0,1,-0.017230112234958343,0.00017148234197065813,1.6033999941967152
137,-0.28,0,0.612847089767456,0,2,24,0,0,2,-0.007695643050182197,0.0006390783881718781,1.6015895075268216
138,0.6899999999999998,1,0.6011230945587158,0,4,27,0,1,3,-0.017003416730504897,0.00031733917884485335,1.6017093161741893
139,-0.0625,0,0.6528990268707275,0,6,22,0,0,4,-0.01305370282002345,0.000836175935035848,1.6020016769568126
140,-0.345,0,0.5985486507415771,0,4,29,0,0,4,-0.023528632414699706,0.0004887734541700472,1.6037540303336248
141,-0.2625,0,0.5933647155761719,0,6,21,0,0,6,-0.026057065990581007,0.0008444414622974856,1.6016759662716475
142,0.9575,1,0.654301643371582,0,3,15,0,1,2,-0.003196852635247288,0.0007340163217910618,1.602750727423915
143,0.15000000000000008,0,0.6120727062225342,0,3,19,0,0,2,-0.004731349362474348,0.0007063713471050956,1.6025102304087744
144,-0.15000000000000002,0,0.6010153293609619,0,1,12,0,0,1,-0.01650066718597103,0.00048101505656514173,1.6025753617286682
145,0.5150000000000005,0,0.6696298122406006,0,4,12,0,0,3,0.01130523386894277,0.002048664101233849,1.6023795273568895
146,-0.31,0,0.613793134689331,0,6,36,0,0,5,-0.0069496325838069115,0.0009602182962781237,1.602567923289758
147,-0.2375,0,0.6954784393310547,0,3,19,0,0,3,-0.01703169123545565,0.00023545423080381244,1.6010497587698476
148,0.91,1,0.6157047748565674,0,5,27,0,1,4,-0.01744743915171259,0.0009467957321098319,1.6026418429833873
149,-0.3375,0,0.6162710189819336,0,3,27,0,0,3,-0.024031100225531392,0.0006258082345553795,1.6019112666447957
150,0.2600000000000002,0,0.7010033130645752,0,6,23,0,0,5,-0.016078803783144663,0.0011169680832915651,1.6044062398098133
151,-0.027499999999999913,0,0.6052675247192383,0,3,21,0,0,2,-0.012760250717056571,0.0004939346099726181,1.60258737427217
152,0.9175000000000001,1,0.6074950695037842,0,8,25,0,1,6,-0.02029610842604328,0.0003679546853282464,1.6022037223533347
153,1.0775000000000006,1,0.651911735534668,0,2,20,1,1,1,-0.0039158350684576565,0.0008265456429045028,1.6030520432525213
154,-0.22499999999999998,0,0.6217789649963379,0,6,18,0,0,6,-0.02040652979027342,0.00025947124484389705,1.6030230687724218
155,0.3500000000000002,0,0.6534731388092041,0,4,15,0,0,4,-0.021138270282083087,0.0010791759652602946,1.6030611329608495
156,-0.22999999999999998,0,0.6071913242340088,0,2,24,0,0,2,-0.013146651236133443,0.000834296855289923,1.6029206955874407
157,-0.2875,0,0.6503646373748779,0,0,23,0,0,0,-0.022628917056998165,0.00036104016086505145,1.6046467191643186
158,-0.2125,0,0.6636602878570557,0,1,17,0,0,1,-0.017622643702284054,0.0002707271624950991,1.6036336123943329
159,-0.35,0,0.6087591648101807,0,4,28,0,0,4,-0.014828800378988186,0.00012663686252370156,1.604260450160062
160,-0.28750000000000003,0,0.6172561645507812,0,0,23,0,0,0,-0.015962147153913975,0.0002659306323605699,1.6045274591004408
161,-0.27499999999999997,0,0.6634798049926758,0,1,22,0,0,1,-0.014907983235187001,0.00014127630666775585,1.6046649791576244
162,0.8025000000000001,1,0.6164073944091797,0,16,38,0,1,14,-0.030039626803180133,0.00183578673230285,1.6031421014556178
163,0.5999999999999999,1,0.617415189743042,0,1,34,0,1,0,-0.019268705621706666,0.00026186228290956976,1.6036148446577565
164,-0.2975,0,0.6480998992919922,0,10,33,0,0,10,-0.012011351564002258,0.0010781828220355872,1.6046122974819608
165,-0.475,0,0.6046609878540039,0,1,38,0,0,1,-0.014211251624618417,0.00013331726923363854,1.6049963147551924
166,-0.305,0,0.5977613925933838,0,2,28,0,0,2,-0.020691348929648048,0.00033622769543831764,1.6050171355406444
167,-0.35,0,0.6604468822479248,0,13,28,0,0,13,-0.014708179221661004,0.0009892788708737155,1.6042248419037572
168,-0.36250000000000004,0,0.6186008453369141,0,5,29,0,0,5,-0.008479789839367624,0.0006739799352973668,1.6058075074796323
169,-0.2625,0,0.5978796482086182,0,2,21,0,0,2,-0.018737604677746142,0.0002826288403598093,1.6056545067716528
170,-0.35,0,0.6366968154907227,0,8,28,0,0,8,-0.027694098392708436,0.0010360296393620468,1.6054993514661435
171,-0.24249999999999994,0,0.5985932350158691,0,10,27,0,0,10,-0.016837201167449904,0.00029492239864733116,1.6061387183489622
172,-0.19,0,0.6089987754821777,0,7,24,0,0,6,-0.007128626142662985,0.0002743592325345757,1.6050333755987662
173,-0.3125,0,0.6599998474121094,0,2,25,0,0,2,-0.01766297461775442,0.0007972404925519287,1.605382528569963
174,-0.33749999999999997,0,0.6332693099975586,0,3,27,0,0,3,-0.019138761183798866,0.0006463991889654371,1.6051641515007726
175,-0.3875,0,0.6224517822265625,0,3,31,0,0,3,-0.01326272114938884,0.00016231208862586428,1.6063745673056002
176,-0.4,0,0.6483182907104492,0,3,32,0,0,3,-0.02030099799891037,0.00031046085061927465,1.6040923838262207
177,-0.4375,0,0.6033015251159668,0,12,35,0,0,12,-0.011445208211187965,0.000785563619875531,1.605261038850855
178,-0.135,0,0.6044995784759521,0,14,23,0,0,14,-0.012995925524996387,0.0007867082074292139,1.6037241706141718
179,-0.36250000000000004,0,0.6628367900848389,0,2,29,0,0,2,-0.021115041234427027,0.0003230165979350914,1.6055495220201985
180,-0.19999999999999998,0,0.6025683879852295,0,3,16,0,0,3,-0.028159839135629163,0.0010833677461261956,1.6060969365967646
181,-0.26249999999999996,0,0.6141595840454102,0,6,21,0,0,6,-0.010503078121002074,0.000409545596573267,1.6051244095519737
182,-0.03999999999999998,0,0.6522524356842041,0,5,19,0,0,4,-0.014160489913559069,0.0009968738624113265,1.6044750533722065
183,-0.175,0,0.6141903400421143,0,2,14,0,0,2,-0.018499480931226303,0.001336359105259735,1.6049323391031336
184,-0.2375,0,0.6552495956420898,0,0,19,0,0,0,-0.020060798998370218,0.00037946963548326335,1.6050793495443132
