Episode,Avg Reward,Total Tasks,Episode Time,WalkToWrongShelf(-0),PickRequested(+0.1),PickUnrequired(-0.05),ReturnAfterDelivery(+0.5),DeliverToGoal(+4.0),DropWrong(-0.1),ActorLoss,CriticLoss,Entropy
1,-0.3000000000000001,0,0.7358083724975586,0,0,24,0,0,0,-0.04258584537267409,0.009901852430270579,1.594049189929609
2,-0.22500000000000003,0,0.676116943359375,0,0,18,0,0,0,-0.03125424126025151,0.011833412520405298,1.5983107145185824
3,-0.6,0,0.7275996208190918,0,2,48,0,0,2,-0.027963158605551278,0.010658886061297008,1.5958189842877564
4,-0.36250000000000004,0,0.674250602722168,0,1,29,0,0,1,-0.038274978649699025,0.008424857868701207,1.5960376295778484
5,0.3400000000000002,0,0.6953966617584229,0,3,12,0,0,2,-0.014348255892939591,0.008589232654093882,1.596041131902624
6,-0.3,0,0.7261648178100586,0,6,24,0,0,6,-0.01996918097655806,0.003502243163205967,1.5961206533290722
7,-0.15749999999999995,0,0.669776439666748,0,3,34,0,0,2,-0.014253318637471507,0.003983278716511644,1.599354890761552
8,-0.02999999999999999,0,0.6676414012908936,0,4,14,0,0,4,-0.02030464573935778,0.003944245661972649,1.5984224897843822
9,-0.2,0,0.7094321250915527,0,3,18,0,0,2,-0.023614349473198806,0.00290182541915154,1.599061053108286
10,-0.3125,0,0.6731252670288086,0,0,25,0,0,0,-0.02085987319824872,0.004194141864604769,1.5980665529215776
11,-0.375,0,0.7199263572692871,0,3,30,0,0,3,-0.013183220522478223,0.0016318442753547261,1.5981465544965532
12,-0.38749999999999996,0,0.6858325004577637,0,9,33,0,0,8,-0.04545415907718793,0.005522688418209511,1.5991802392182528
13,-0.3375,0,0.6820380687713623,0,5,27,0,0,5,-0.028613069750092646,0.0027063647159964064,1.600324993884122
14,-0.35,0,0.71872878074646,0,3,28,0,0,3,-0.02851935086288938,0.0023524543044038744,1.6029678759751498
15,0.6475,1,0.6704981327056885,0,1,31,0,1,0,-0.02513322635139856,0.0022185418755675257,1.6029970005706504
16,-0.26249999999999996,0,0.6735098361968994,0,0,21,0,0,0,-0.0215140742905162,0.0014254224194121114,1.5964180683648144
17,-0.22500000000000003,0,0.736412525177002,0,2,18,0,0,2,-0.01846552610017911,0.0016711182886302023,1.6000990845538954
18,-0.25,0,0.6794722080230713,0,0,20,0,0,0,-0.024071000706128505,0.0009994750822780493,1.5986455601674538
19,-0.24999999999999997,0,0.6687402725219727,0,9,20,0,0,9,-0.015504754096683528,0.0011108992653378344,1.6011451946364508
20,-0.35,0,0.7000279426574707,0,0,28,0,0,0,-0.022444021775973613,0.0007987270741969953,1.599808199538125
21,-0.38750000000000007,0,0.6653664112091064,0,1,31,0,0,1,-0.021775515327506045,0.0007641095167120645,1.600841482480367
