Episode,Avg Reward,Total Tasks,Episode Time,WalkToWrongShelf(-0),PickRequested(+0.5),PickUnrequired(-0),ReturnAfterDelivery(+0.5),DeliverToGoal(+3.0),DropWrong(-0)
1,0.0,0,0.6971068382263184,0,0,0,0,0,0
2,0.0,0,0.6739490032196045,0,0,0,0,0,0
3,1.205,0,0.7093231678009033,0,9,0,0,0,0
4,4.34,0,0.6795363426208496,0,10,0,0,3,0
5,1.33,0,0.7426891326904297,0,10,0,0,0,0
6,1.5,0,0.6549398899078369,0,12,0,0,0,0
7,0.375,0,0.6745681762695312,0,3,0,0,0,0
8,2.35,0,0.7175288200378418,0,8,0,0,0,0
9,0.0,0,0.6821708679199219,0,0,0,0,0,0
10,0.0,0,0.6807262897491455,0,0,0,0,0,0
11,1.6799999999999997,0,0.7444925308227539,0,11,0,0,0,0
12,0.21499999999999997,0,0.682748556137085,0,1,0,0,0,0
13,0.0,0,0.7122364044189453,0,0,0,0,0,0
14,0.125,0,0.6437780857086182,0,1,0,0,0,0
15,0.375,0,0.6619889736175537,0,3,0,0,0,0
16,1.8100000000000005,0,0.7392792701721191,0,2,0,1,1,0
17,0.875,0,0.686133623123169,0,7,0,0,0,0
18,0.0,0,0.7004806995391846,0,0,0,0,0,0
19,1.735,0,0.7297413349151611,0,7,0,0,1,0
20,2.5899999999999994,0,0.6707677841186523,0,5,0,0,0,0
21,2.125,0,0.6306781768798828,0,10,0,0,0,0
22,0.75,0,0.727755069732666,0,6,0,0,0,0
23,0.625,0,0.6568641662597656,0,5,0,0,0,0
24,0.0,0,0.6583819389343262,0,0,0,0,0,0
25,1.7300000000000002,0,0.6986560821533203,0,6,0,0,1,0
26,0.5,0,0.6353824138641357,0,4,0,0,0,0
27,0.0,0,0.7051823139190674,0,0,0,0,0,0
28,0.0,0,0.657010555267334,0,0,0,0,0,0
29,0.625,0,0.674410343170166,0,5,0,0,0,0
30,1.1300000000000001,0,0.7174108028411865,0,8,0,0,0,0
31,0.5,0,0.6585965156555176,0,4,0,0,0,0
32,0.375,0,0.70381760597229,0,3,0,0,0,0
33,0.5,0,0.6783344745635986,0,4,0,0,0,0
34,1.0250000000000004,0,0.694951057434082,0,4,0,0,0,0
35,0.75,0,0.7025127410888672,0,6,0,0,0,0
36,1.375,0,0.6717450618743896,0,5,0,0,1,0
37,1.7150000000000003,0,0.7298183441162109,0,4,0,0,1,0
38,0.79,0,0.7319357395172119,0,6,0,0,0,0
39,0.7600000000000005,0,0.6835908889770508,0,2,0,0,0,0
40,0.125,0,0.6954905986785889,0,1,0,0,0,0
41,0.51,0,0.7084136009216309,0,4,0,0,0,0
42,0.275,0,0.6776807308197021,0,2,0,0,0,0
43,0.375,0,0.6506626605987549,0,3,0,0,0,0
44,0.0,0,0.7253165245056152,0,0,0,0,0,0
45,0.5,0,0.6689417362213135,0,4,0,0,0,0
46,1.4650000000000003,0,0.6229867935180664,0,7,0,0,0,0
47,0.6950000000000004,0,0.7044129371643066,0,1,0,0,0,0
48,0.5,0,0.6940815448760986,0,4,0,0,0,0
49,0.125,0,0.7298986911773682,0,1,0,0,0,0
50,2.1250000000000004,0,0.6757001876831055,0,6,0,1,1,0
51,0.125,0,0.6874275207519531,0,1,0,0,0,0
52,2.609999999999999,0,0.7294867038726807,0,3,0,1,1,0
53,0.0,0,0.6672585010528564,0,0,0,0,0,0
54,0.0,0,0.7197611331939697,0,0,0,0,0,0
55,2.4350000000000005,0,0.6857469081878662,0,8,0,0,1,0
56,0.375,0,0.697932243347168,0,3,0,0,0,0
57,0.125,0,0.7367680072784424,0,1,0,0,0,0
58,1.29,0,0.6803188323974609,0,10,0,0,0,0
59,0.6700000000000002,0,0.6781101226806641,0,4,0,0,0,0
60,0.375,0,0.718393087387085,0,3,0,0,0,0
61,0.25,0,0.6769299507141113,0,2,0,0,0,0
62,0.0,0,0.6906936168670654,0,0,0,0,0,0
63,0.91,0,0.7409570217132568,0,7,0,0,0,0
64,1.125,0,0.662177562713623,0,9,0,0,0,0
65,1.0150000000000001,0,0.6752839088439941,0,7,0,0,0,0
66,1.1750000000000003,0,0.7154984474182129,0,7,0,0,0,0
67,0.5,0,0.6792705059051514,0,4,0,0,0,0
68,1.1550000000000002,0,0.6736540794372559,0,6,0,0,0,0
69,0.5800000000000002,0,0.7093319892883301,0,3,0,0,0,0
70,1.295,0,0.6707494258880615,0,10,0,0,0,0
71,0.25,0,0.729027509689331,0,2,0,0,0,0
72,0.5,0,0.6224613189697266,0,4,0,0,0,0
73,0.625,0,0.6850721836090088,0,5,0,0,0,0
