Episode,Avg Reward,Total Tasks,Episode Time,WalkToWrongShelf(-0),PickRequested(+0.1),PickUnrequired(-0),ReturnAfterDelivery(+0.5),DeliverToGoal(+4.0),DropWrong(-0)
1,0.05,0,0.7017302513122559,0,2,0,0,0,0
2,0.5725000000000002,0,0.6308507919311523,0,6,0,0,0,0
3,0.0,0,0.713578462600708,0,0,0,0,0,0
4,0.6950000000000002,0,0.6618709564208984,0,16,0,0,0,0
5,0.07500000000000001,0,0.7024059295654297,0,3,0,0,0,0
6,0.6375000000000002,0,0.6642405986785889,0,11,0,0,0,0
7,0.05,0,0.6730489730834961,0,2,0,0,0,0
8,0.0,0,0.7103433609008789,0,0,0,0,0,0
9,2.0175,0,0.675182580947876,0,11,0,0,1,0
10,0.05,0,0.6690812110900879,0,2,0,0,0,0
11,0.7600000000000005,0,0.7086300849914551,0,6,0,0,0,0
12,0.1975,0,0.6419365406036377,0,6,0,0,0,0
13,0.33750000000000013,0,0.6978335380554199,0,5,0,0,0,0
14,0.10749999999999998,0,0.6759860515594482,0,2,0,0,0,0
15,0.0825,0,0.6197288036346436,0,3,0,0,0,0
16,1.0724999999999991,0,0.6997559070587158,0,2,0,0,0,0
17,0.0,0,0.6279706954956055,0,0,0,0,0,0
18,0.1,0,0.6752626895904541,0,4,0,0,0,0
19,0.05,0,0.6860780715942383,0,2,0,0,0,0
20,0.33749999999999997,0,0.6091887950897217,0,12,0,0,0,0
21,0.0,0,0.6547183990478516,0,0,0,0,0,0
22,1.8425000000000002,0,0.6933770179748535,0,9,0,1,1,0
23,0.025,0,0.6777322292327881,0,1,0,0,0,0
24,0.125,0,0.669745922088623,0,5,0,0,0,0
25,0.0,0,0.6964845657348633,0,0,0,0,0,0
26,0.1575,0,0.7006793022155762,0,6,0,0,0,0
27,0.05,0,0.6739187240600586,0,2,0,0,0,0
28,0.07500000000000001,0,0.6526083946228027,0,3,0,0,0,0
29,0.3600000000000002,0,0.6148467063903809,0,4,0,0,0,0
30,0.20750000000000007,0,0.7205843925476074,0,5,0,0,0,0
31,0.22499999999999998,0,0.6408050060272217,0,9,0,0,0,0
32,0.15,0,0.6060028076171875,0,6,0,0,0,0
33,0.1,0,0.709458589553833,0,4,0,0,0,0
34,0.07500000000000001,0,0.6332705020904541,0,3,0,0,0,0
35,0.0,0,0.6355760097503662,0,0,0,0,0,0
36,0.41000000000000003,0,0.6961429119110107,0,14,0,0,0,0
37,0.4525000000000003,0,0.6532835960388184,0,5,0,0,0,0
38,0.0,0,0.7043321132659912,0,0,0,0,0,0
39,0.25,0,0.6554648876190186,0,10,0,0,0,0
40,1.4800000000000002,0,0.6639323234558105,0,8,0,0,1,0
41,0.0,0,0.7123630046844482,0,0,0,0,0,0
42,0.1,0,0.6539793014526367,0,4,0,0,0,0
43,0.0,0,0.6576378345489502,0,0,0,0,0,0
44,0.30000000000000004,0,0.7225160598754883,0,10,0,0,0,0
45,0.07500000000000001,0,0.6844909191131592,0,3,0,0,0,0
46,0.025,0,0.7305707931518555,0,1,0,0,0,0
47,0.175,0,0.6613485813140869,0,7,0,0,0,0
48,0.3275000000000002,0,0.6339051723480225,0,3,0,0,0,0
49,1.1324999999999994,0,0.745459794998169,0,5,0,0,0,0
50,0.0,0,0.656611442565918,0,0,0,0,0,0
51,0.32750000000000007,0,0.6581580638885498,0,7,0,0,0,0
52,1.2650000000000001,0,0.7166574001312256,0,5,0,1,1,0
53,0.025,0,0.6739063262939453,0,1,0,0,0,0
54,0.20500000000000002,0,0.6507847309112549,0,7,0,0,0,0
55,0.025,0,0.6997890472412109,0,1,0,0,0,0
56,0.05,0,0.6260411739349365,0,2,0,0,0,0
57,0.05,0,0.6857783794403076,0,2,0,0,0,0
58,0.1,0,0.662602424621582,0,4,0,0,0,0
59,0.6425000000000002,0,0.6629793643951416,0,1,0,0,0,0
60,0.1,0,0.6909120082855225,0,4,0,0,0,0
61,0.05,0,0.6669678688049316,0,2,0,0,0,0
62,0.25000000000000006,0,0.687175989151001,0,3,0,0,0,0
63,0.07500000000000001,0,0.6594483852386475,0,3,0,0,0,0
64,0.05500000000000001,0,0.6404628753662109,0,2,0,0,0,0
65,0.175,0,0.7014358043670654,0,7,0,0,0,0
66,0.04,0,0.6597368717193604,0,1,0,0,0,0
67,0.425,0,0.648298978805542,0,17,0,0,0,0
68,0.4500000000000001,0,0.7094812393188477,0,1,0,0,0,0
69,0.27499999999999997,0,0.6526792049407959,0,11,0,0,0,0
70,0.05,0,0.7236859798431396,0,2,0,0,0,0
71,0.8050000000000002,0,0.6663575172424316,0,5,0,0,0,0
72,0.05,0,0.6404047012329102,0,2,0,0,0,0
73,1.1525,0,0.7133455276489258,0,6,0,0,1,0
74,0.2,0,0.6545877456665039,0,8,0,0,0,0
75,0.0,0,0.61753249168396,0,0,0,0,0,0
76,0.0,0,0.674950122833252,0,0,0,0,0,0
77,0.0,0,0.6700212955474854,0,0,0,0,0,0
78,0.2225,0,0.6883931159973145,0,8,0,0,0,0
79,0.135,0,0.6959629058837891,0,5,0,0,0,0
80,0.1775,0,0.6583781242370605,0,5,0,0,0,0
81,0.38750000000000023,0,0.666985273361206,0,3,0,0,0,0
82,0.060000000000000005,0,0.7238266468048096,0,2,0,0,0,0
83,0.025,0,0.6456334590911865,0,1,0,0,0,0
84,0.025,0,0.7077991962432861,0,1,0,0,0,0
85,0.125,0,0.6683862209320068,0,5,0,0,0,0
