Episode,Avg Reward,Total Tasks,Episode Time
1,0.0,0,0.7032768726348877
2,0.0,0,0.6723198890686035
3,0.0,0,0.7155096530914307
4,0.0,0,0.6901514530181885
5,0.0,0,0.7217381000518799
6,0.0,0,0.6829524040222168
7,0.0,0,0.7258660793304443
8,0.0,0,0.7486534118652344
9,0.0,0,0.6649010181427002
10,0.0,0,0.6831514835357666
11,0.0,0,0.7198050022125244
12,0.0,0,0.6835954189300537
13,0.0,0,0.6640698909759521
14,0.0,0,0.729421854019165
15,0.0,0,0.6706337928771973
16,0.0,0,0.7200431823730469
17,0.0,0,0.6783239841461182
18,0.0,0,0.6839544773101807
19,0.5,2,0.714012622833252
20,0.0,0,0.6531903743743896
21,0.25,1,0.6915161609649658
22,0.0,0,0.711524248123169
23,0.0,0,0.6769752502441406
24,0.0,0,0.704085111618042
25,0.0,0,0.6535828113555908
26,0.0,0,0.6594336032867432
27,0.25,1,0.7170505523681641
28,0.0,0,0.664031982421875
29,0.0,0,0.6714601516723633
30,0.0,0,0.7283751964569092
31,0.0,0,0.658301591873169
32,0.0,0,0.7187683582305908
33,0.0,0,0.736121416091919
34,0.0,0,0.6842739582061768
35,0.25,1,0.7154543399810791
36,0.0,0,0.7233469486236572
37,0.0,0,0.6615238189697266
38,0.25,1,0.6955399513244629
39,0.0,0,0.746408224105835
40,0.0,0,0.6568608283996582
41,0.0,0,0.6727666854858398
42,0.0,0,0.7140982151031494
43,0.0,0,0.6584641933441162
44,0.625,2,0.7121658325195312
45,0.0,0,0.6705489158630371
46,0.0,0,0.656503438949585
47,0.0,0,0.713080644607544
48,0.0,0,0.6456830501556396
49,0.0,0,0.6601409912109375
50,0.25,1,0.6775636672973633
51,0.0,0,0.652026891708374
52,0.0,0,0.6473915576934814
53,0.0,0,0.7123672962188721
54,0.25,1,0.6531610488891602
55,0.0,0,0.6688506603240967
56,0.0,0,0.7464470863342285
57,0.25,1,0.6535215377807617
58,0.0,0,0.6570272445678711
59,0.0,0,0.6969778537750244
60,0.375,1,0.6828975677490234
61,0.0,0,0.7183046340942383
62,0.0,0,0.6558010578155518
63,0.0,0,0.6629791259765625
64,0.0,0,0.734562873840332
65,0.0,0,0.7058620452880859
66,0.0,0,0.711308479309082
67,0.25,1,0.7393722534179688
68,0.0,0,0.6724679470062256
69,0.0,0,0.6735482215881348
70,0.0,0,0.7154505252838135
71,0.0,0,0.6721067428588867
72,0.0,0,0.6708674430847168
73,0.0,0,0.7095401287078857
74,0.25,1,0.6609458923339844
